locationid,locationname,time,regionid
ADMIN_BVT_00000,Bouvet I.,1995,SOUT
ADMIN_FLK_00000,Falkland Islands,1995,SOUT
ADMIN_SGS_00000,South Georgia & the,1995,SOUT
ADMIN_DZA_00000,Ain Temouchent,1995,SMED
ADMIN_DZA_00001,Laghouat,1995,SMED
ADMIN_DZA_00002,Oum el Bouaghi,1995,SMED
ADMIN_DZA_00003,Skikda,1995,SMED
ADMIN_DZA_00004,Tamanghasset,1995,SMED
ADMIN_DZA_00005,Illizi,1995,SMED
ADMIN_DZA_00006,Djelfa,1995,SMED
ADMIN_DZA_00007,Bouira,1995,SMED
ADMIN_DZA_00008,Relizane,1995,SMED
ADMIN_DZA_00009,Tissemsilt,1995,SMED
ADMIN_DZA_00010,Batna,1995,SMED
ADMIN_DZA_00011,Constantine,1995,SMED
ADMIN_DZA_00012,M'Sila,1995,SMED
ADMIN_DZA_00013,Tiaret,1995,SMED
ADMIN_DZA_00014,Tlemcen,1995,SMED
ADMIN_DZA_00015,Annaba,1995,SMED
ADMIN_DZA_00016,Boumerdes,1995,SMED
ADMIN_DZA_00017,Bejaia,1995,SMED
ADMIN_DZA_00018,Tindouf,1995,SMED
ADMIN_DZA_00019,Tipaza,1995,SMED
ADMIN_DZA_00020,Ain Defla,1995,SMED
ADMIN_DZA_00021,Naama,1995,SMED
ADMIN_DZA_00022,Chlef,1995,SMED
ADMIN_DZA_00023,El Tarf,1995,SMED
ADMIN_DZA_00024,Blida,1995,SMED
ADMIN_DZA_00025,Ghardaia,1995,SMED
ADMIN_DZA_00026,Mostaganem,1995,SMED
ADMIN_DZA_00027,Khenchela,1995,SMED
ADMIN_DZA_00028,Tizi Ouzou,1995,SMED
ADMIN_DZA_00029,Saida,1995,SMED
ADMIN_DZA_00030,Medea,1995,SMED
ADMIN_DZA_00031,Adrar,1995,SMED
ADMIN_DZA_00032,Guelma,1995,SMED
ADMIN_DZA_00033,Alger,1995,SMED
ADMIN_DZA_00034,El Bayadh,1995,SMED
ADMIN_DZA_00035,Ouargla,1995,SMED
ADMIN_DZA_00036,Souk Ahras,1995,SMED
ADMIN_DZA_00037,Sidi bel Abbes,1995,SMED
ADMIN_DZA_00038,Bourdj Bou Arrer,1995,SMED
ADMIN_DZA_00039,Mila,1995,SMED
ADMIN_DZA_00040,Oran,1995,SMED
ADMIN_DZA_00041,Jijel,1995,SMED
ADMIN_DZA_00042,Tebessa,1995,SMED
ADMIN_DZA_00043,Setif,1995,SMED
ADMIN_DZA_00044,El Oued,1995,SMED
ADMIN_DZA_00045,Mascara,1995,SMED
ADMIN_DZA_00046,Bechar,1995,SMED
ADMIN_DZA_00047,Biskra,1995,SMED
ADMIN_EGY_00000,Al Wadi al Jadid,1995,SMED
ADMIN_EGY_00001,Ash Sharqiyah,1995,SMED
ADMIN_EGY_00002,Aswan,1995,SMED
ADMIN_EGY_00003,Al Minufiyah,1995,SMED
ADMIN_EGY_00004,Shamal Sina',1995,SMED
ADMIN_EGY_00005,Al Qalyubiyah,1995,SMED
ADMIN_EGY_00006,Al Buhayrah,1995,SMED
ADMIN_EGY_00007,Bani Suwayf,1995,SMED
ADMIN_EGY_00008,Janub Sina',1995,SMED
ADMIN_EGY_00009,Al Jizah,1995,SMED
ADMIN_EGY_00010,Al Minya,1995,SMED
ADMIN_EGY_00011,Asyut,1995,SMED
ADMIN_EGY_00012,Al Fayyum,1995,SMED
ADMIN_EGY_00013,Suhaj,1995,SMED
ADMIN_EGY_00014,Al Qahirah,1995,SMED
ADMIN_EGY_00015,Qina,1995,SMED
ADMIN_EGY_00016,Bur Sa'id,1995,SMED
ADMIN_EGY_00017,Kafr ash Shaykh,1995,SMED
ADMIN_EGY_00018,Marsa Matruh,1995,SMED
ADMIN_EGY_00019,Dumyat,1995,SMED
ADMIN_EGY_00020,As Suways,1995,SMED
ADMIN_EGY_00021,Al Isma'iliyah,1995,SMED
ADMIN_EGY_00022,Al Bahr al Ahmar,1995,SMED
ADMIN_EGY_00023,Al Iskandariyah,1995,SMED
ADMIN_EGY_00024,Ad Daqahliyah,1995,SMED
ADMIN_EGY_00025,Al Gharbiyah,1995,SMED
ADMIN_ISR_00000,Hefa,1995,SMED
ADMIN_ISR_00001,Tel Aviv,1995,SMED
ADMIN_ISR_00002,Hadarom,1995,SMED
ADMIN_ISR_00003,Hazafon,1995,SMED
ADMIN_ISR_00004,Hamerkaz,1995,SMED
ADMIN_ISR_00005,Yerushalayim,1995,SMED
ADMIN_JOR_00000,At Tafilah,1995,SMED
ADMIN_JOR_00001,Az Zarqa,1995,SMED
ADMIN_JOR_00002,Al Balqa',1995,SMED
ADMIN_JOR_00003,Ma'an,1995,SMED
ADMIN_JOR_00004,Al Mafraq,1995,SMED
ADMIN_JOR_00005,Irbid,1995,SMED
ADMIN_JOR_00006,'Amman,1995,SMED
ADMIN_JOR_00007,Al Karak,1995,SMED
ADMIN_LBN_00000,Bayrut,1995,SMED
ADMIN_LBN_00001,Ash Shamal,1995,SMED
ADMIN_LBN_00002,Jabal Lubnan,1995,SMED
ADMIN_LBN_00003,Al Biqa',1995,SMED
ADMIN_LBN_00004,An Nabatiyah,1995,SMED
ADMIN_LBN_00005,Sayda,1995,SMED
ADMIN_LBY_00000,Ajdabiya,1995,SMED
ADMIN_LBY_00001,Sabha,1995,SMED
ADMIN_LBY_00002,Al Jabal al Akhdar,1995,SMED
ADMIN_LBY_00003,Tarabulus,1995,SMED
ADMIN_LBY_00004,Banghazi,1995,SMED
ADMIN_LBY_00005,Darnah,1995,SMED
ADMIN_LBY_00006,An Nuqat al Khams,1995,SMED
ADMIN_LBY_00007,Zlitan,1995,SMED
ADMIN_LBY_00008,Al Khums,1995,SMED
ADMIN_LBY_00009,Murzuq,1995,SMED
ADMIN_LBY_00010,Al Jufrah,1995,SMED
ADMIN_LBY_00011,Gharyan,1995,SMED
ADMIN_LBY_00012,Yafran,1995,SMED
ADMIN_LBY_00013,Tarhunah,1995,SMED
ADMIN_LBY_00014,Al 'Aziziyah,1995,SMED
ADMIN_LBY_00015,Surt,1995,SMED
ADMIN_LBY_00016,Awbari,1995,SMED
ADMIN_LBY_00017,Ghadamis,1995,SMED
ADMIN_LBY_00018,Al Kufrah,1995,SMED
