locationid,locationname,time,subsidence
CITY_DZA_000,Algiers,1995,-999.999
CITY_AGO_000,Luanda,1995,-999.999
CITY_ARG_000,Buenos Aires,1995,-999.999
CITY_AUS_000,Adelaide,1995,-999.999
CITY_AUS_001,Brisbane,1995,-999.999
CITY_AUS_002,Melbourne,1995,-999.999
CITY_AUS_003,Perth,1995,-999.999
CITY_AUS_004,Sydney,1995,-999.999
CITY_BGD_000,Chittagong,1995,5
CITY_BGD_001,Dhaka,1995,5
CITY_BGD_002,Khulna,1995,5
CITY_BRA_000,Santos,1995,-999.999
CITY_BRA_001,Belem,1995,-999.999
CITY_BRA_002,Fortaleza,1995,-999.999
CITY_BRA_003,Grande Vitria,1995,-999.999
CITY_BRA_004,Macei,1995,-999.999
CITY_BRA_005,Natal,1995,-999.999
CITY_BRA_006,Recife,1995,-999.999
CITY_BRA_007,Porto Alegre,1995,-999.999
CITY_BRA_008,Rio de Janeiro,1995,-999.999
CITY_BRA_009,Salvador,1995,-999.999
CITY_CMR_000,Douala,1995,2
CITY_CAN_000,Montreal,1995,-999.999
CITY_CAN_001,Vancouver,1995,1
CITY_CHN_000,Dalian,1995,-999.999
CITY_CHN_001,Fuzhou,1995,-999.999
CITY_CHN_002,Guangzhou_Guangdong,1995,0
CITY_CHN_003,Shenzen,1995,-999.999
CITY_CHN_004,Hangzhou,1995,5
CITY_CHN_005,Ningbo,1995,5
CITY_CHN_006,Qingdao,1995,-999.999
CITY_CHN_007,Shanghai,1995,5
CITY_CHN_009,Tianjin,1995,5
CITY_CHN_010,Wenzhou,1995,5
CITY_CHN_011,Xiamen,1995,-999.999
CITY_CHN_012,Yantai,1995,-999.999
CITY_CHN_013,Zhanjiang,1995,-999.999
CITY_HKG_000,Hong Kong,1995,-999.999
CITY_COL_000,Barranquilla,1995,0.2
CITY_CIV_000,Abidjan,1995,-999.999
CITY_CUB_000,Havana,1995,-999.999
CITY_PRK_000,N'ampo,1995,-999.999
CITY_DNK_000,Copenhagen,1995,-999.999
CITY_DOM_000,Santo Domingo,1995,-999.999
CITY_ECU_000,Guayaquil,1995,1
CITY_EGY_000,Alexandria,1995,0
CITY_FIN_000,Helsinki,1995,-999.999
CITY_FRA_000,Marseille,1995,-999.999
CITY_DEU_000,Hamburg,1995,-999.999
CITY_GHA_000,Accra,1995,-999.999
CITY_GRC_000,Athens,1995,-999.999
CITY_GIN_000,Conakry,1995,-999.999
CITY_HTI_000,Port-au-Prince,1995,-999.999
CITY_IND_000,Chennai,1995,-999.999
CITY_IND_001,Kochi,1995,-999.999
CITY_IND_002,Kolkata,1995,2.6
CITY_IND_003,Mamba,1995,-999.999
CITY_IND_004,Surat,1995,-999.999
CITY_IND_005,Visakhapatnam,1995,-999.999
CITY_IDN_000,Jakarta,1995,5
CITY_IDN_001,Palembang,1995,5
CITY_IDN_002,Surabaya,1995,5
CITY_IDN_003,Ujung Pandang,1995,-999.999
CITY_IDN_004,Semarang,1995,5
CITY_IDN_005,Medan,1995,5
CITY_IRL_000,Dublin,1995,-999.999
CITY_ISR_000,Tel Aviv-Jaffa,1995,-999.999
CITY_ITA_000,Naples,1995,-999.999
CITY_JPN_000,Fukuoka-Kitakyushu,1995,0
CITY_JPN_001,Hiroshima,1995,0
CITY_JPN_002,Nagoya,1995,1
CITY_JPN_003,Osaka-Kobe,1995,5
CITY_JPN_004,Sapporo,1995,-999.999
CITY_JPN_005,Tokyo,1995,0
CITY_KWT_000,Kuwait City,1995,-999.999
CITY_LBN_000,Beirut,1995,-999.999
CITY_LBY_000,Banghazi,1995,-999.999
CITY_LBY_001,Tripoli,1995,-999.999
CITY_MYS_000,Kuala Lumpur,1995,-999.999
CITY_MAR_000,Casablanca,1995,-999.999
CITY_MAR_001,Rabat,1995,-999.999
CITY_MOZ_000,Maputo,1995,-999.999
CITY_MMR_000,Rangoon,1995,5
CITY_NLD_000,Amsterdam,1995,1
CITY_NLD_001,Rotterdam,1995,1
CITY_NZL_000,Auckland,1995,-999.999
CITY_NGA_000,Lagos,1995,-999.999
CITY_PAK_000,Karachi,1995,-999.999
CITY_PAN_000,Panama City,1995,-999.999
CITY_PER_000,Lima,1995,-999.999
CITY_PHL_000,Davao,1995,-999.999
CITY_PHL_001,Manila,1995,5
CITY_PRT_000,Lisbon,1995,-999.999
CITY_PRT_001,Porto,1995,-999.999
CITY_PRI_000,San Juan,1995,-999.999
CITY_KOR_000,Pusan,1995,-999.999
CITY_KOR_001,Ulsan,1995,-999.999
CITY_KOR_002,Inchon,1995,-999.999
CITY_RUS_000,St. Petersburg,1995,-999.999
CITY_SAU_000,Jiddah,1995,-999.999
CITY_SEN_000,Dakar,1995,-999.999
CITY_SGP_000,Singapore,1995,-999.999
CITY_SOM_000,Mogadishu,1995,-999.999
CITY_ZAF_000,Cape Town,1995,-999.999
CITY_ZAF_001,Durban,1995,-999.999
