locationid,locationname,time,is_ericson,subsidence_ericson_natural,subsidence_ericson_total,subsidence_non_ericson
DELTA_GLOBAL_000,Yukon,1995,TRUE,-1.465174129,-1.465174129,0
DELTA_GLOBAL_001,MacKenzie,1995,TRUE,-0.62579968,0.37420032,0
DELTA_GLOBAL_002,Fraser,1995,FALSE,0,0,1
DELTA_GLOBAL_003,Vistula/Wisla,1995,FALSE,0,0,1
DELTA_GLOBAL_004,Danube,1995,TRUE,1.522539736,1.573754664,0
DELTA_GLOBAL_005,Rhone,1995,TRUE,-0.497364174,1,0
DELTA_GLOBAL_006,North Italian Plain,1995,TRUE,-1.5,5,0
DELTA_GLOBAL_007,Ebro,1995,TRUE,2.5,2.595785441,0
DELTA_GLOBAL_008,Rhine/Scheldt/Meuse,1995,TRUE,-1.0968,1,0
DELTA_GLOBAL_009,Pechora,1995,FALSE,0,0,1
DELTA_GLOBAL_010,Lena,1995,TRUE,-1.289310835,-1.289310835,0
DELTA_GLOBAL_011,Indigirka,1995,FALSE,0,0,1
DELTA_GLOBAL_012,Kolyma,1995,FALSE,0,0,1
DELTA_GLOBAL_013,North Dvina,1995,FALSE,0,0,1
DELTA_GLOBAL_014,Don,1995,FALSE,0,0,1
DELTA_GLOBAL_015,Kuban,1995,FALSE,0,0,1
DELTA_GLOBAL_016,Mississippi,1995,TRUE,2.606318966,6,0
DELTA_GLOBAL_017,Apalachicola,1995,FALSE,0,0,1
DELTA_GLOBAL_018,Brazos,1995,FALSE,0,0,1
DELTA_GLOBAL_019,Colorado (Gulf of California),1995,TRUE,2.5,6.28184249,0
DELTA_GLOBAL_020,Yellow (Huang He),1995,TRUE,1.5,1.780786831,0
DELTA_GLOBAL_021,Liaohe,1995,FALSE,0,0,1
DELTA_GLOBAL_022,Yangtze,1995,TRUE,2.079449118,2.105697021,0
DELTA_GLOBAL_023,Nile – East,1995,TRUE,3,3.93061186,0
DELTA_GLOBAL_024,Xi Jiang (Pearl),1995,TRUE,0.04165,2.5,0
DELTA_GLOBAL_025,Shatt el Arab,1995,TRUE,2.41432,3.555894022,0
